# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_upstream_gene_variant
BRCA1	ENSG00000012048	ENST00000921915	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000921916	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000945268	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000945269	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA2	ENSG00000139618	ENST00000380152	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0
BRCA2	ENSG00000139618	ENST00000470094	nonsense_mediated_decay	0	0	0	1	0	0	0	0	1	0	0	0
BRCA2	ENSG00000139618	ENST00000528762	nonsense_mediated_decay	0	0	0	1	0	0	0	0	1	0	0	0
BRCA2	ENSG00000139618	ENST00000530893	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0
BRCA2	ENSG00000139618	ENST00000544455	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0
BRCA2	ENSG00000139618	ENST00000614259	nonsense_mediated_decay	0	0	0	1	0	0	0	0	1	0	0	0
BRCA2	ENSG00000139618	ENST00000665585	nonsense_mediated_decay	0	0	0	1	0	0	0	0	1	0	0	0
BRCA2	ENSG00000139618	ENST00000666593	nonsense_mediated_decay	0	0	0	1	0	0	0	0	1	0	0	0
BRCA2	ENSG00000139618	ENST00000680887	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0
BRCA2	ENSG00000139618	ENST00000700202	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0
BRCA2	ENSG00000139618	ENST00000713677	nonsense_mediated_decay	0	0	0	2	1	0	0	0	1	0	0	0
BRCA2	ENSG00000139618	ENST00000713678	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0
BRCA2	ENSG00000139618	ENST00000713679	nonsense_mediated_decay	0	0	0	1	0	0	0	0	1	0	0	0
BRCA2	ENSG00000139618	ENST00000713680	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0
C12orf42	ENSG00000179088	ENST00000547347	nonsense_mediated_decay	0	0	0	1	0	1	0	0	0	0	0	0
CFTR	ENSG00000001626	ENST00000003084	protein_coding	0	1	0	0	0	0	1	0	0	0	1	0
CFTR	ENSG00000001626	ENST00000426809	protein_coding	0	1	0	0	0	0	1	0	0	0	1	0
CFTR	ENSG00000001626	ENST00000647720	nonsense_mediated_decay	0	1	0	0	0	0	1	0	0	0	1	0
CFTR	ENSG00000001626	ENST00000647978	nonsense_mediated_decay	0	0	0	1	0	0	1	0	0	0	0	0
CFTR	ENSG00000001626	ENST00000648260	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
CFTR	ENSG00000001626	ENST00000649406	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
CFTR	ENSG00000001626	ENST00000649781	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
CFTR	ENSG00000001626	ENST00000673785	protein_coding	0	1	0	0	0	0	1	0	0	0	1	0
CFTR	ENSG00000001626	ENST00000685018	nonsense_mediated_decay	0	1	0	0	0	0	1	0	0	0	1	0
CFTR	ENSG00000001626	ENST00000687278	nonsense_mediated_decay	0	1	0	0	0	0	1	0	0	0	1	0
CFTR	ENSG00000001626	ENST00000699585	nonsense_mediated_decay	0	1	0	0	0	0	1	0	0	0	1	0
CFTR	ENSG00000001626	ENST00000699596	protein_coding	0	1	0	0	0	0	1	0	0	0	1	0
CFTR	ENSG00000001626	ENST00000699597	protein_coding	0	1	0	0	0	0	1	0	0	0	1	0
CFTR	ENSG00000001626	ENST00000699598	nonsense_mediated_decay	0	1	0	0	0	0	1	0	0	0	1	0
CFTR	ENSG00000001626	ENST00000699599	nonsense_mediated_decay	0	1	0	0	0	0	1	0	0	0	1	0
CFTR	ENSG00000001626	ENST00000699600	nonsense_mediated_decay	0	1	0	0	0	0	1	0	0	0	1	0
CFTR	ENSG00000001626	ENST00000699601	nonsense_mediated_decay	0	1	0	0	0	0	1	0	0	0	1	0
CFTR	ENSG00000001626	ENST00000699602	protein_coding	0	1	0	0	0	0	1	0	0	0	1	0
CFTR	ENSG00000001626	ENST00000699604	nonsense_mediated_decay	0	1	0	0	0	0	1	0	0	0	1	0
CFTR	ENSG00000001626	ENST00000699605	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
CFTR	ENSG00000001626	ENST00000889206	protein_coding	0	1	0	0	0	0	1	0	0	0	1	0
CFTR	ENSG00000001626	ENST00000889207	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
CFTR	ENSG00000001626	ENST00000889208	protein_coding	0	1	0	0	0	0	1	0	0	0	1	0
CFTR	ENSG00000001626	ENST00000889209	protein_coding	0	1	0	0	0	0	1	0	0	0	1	0
CFTR	ENSG00000001626	ENST00000889210	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
CFTR	ENSG00000001626	ENST00000950799	protein_coding	0	1	0	0	0	0	1	0	0	0	1	0
CYP2F1	ENSG00000197446	ENST00000331105	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
CYP2F1	ENSG00000197446	ENST00000439903	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
CYP2F1	ENSG00000197446	ENST00000526093	retained_intron	0	0	0	1	0	0	1	0	0	0	0	0
CYP2F1	ENSG00000197446	ENST00000531409	retained_intron	0	0	0	1	0	0	1	0	0	0	0	0
CYP2F1	ENSG00000197446	ENST00000532164	nonsense_mediated_decay	0	0	0	1	0	0	1	0	0	0	0	0
CYP2F1	ENSG00000197446	ENST00000534009	non_stop_decay	0	0	0	1	0	0	0	0	0	0	0	1
CYP2F1	ENSG00000197446	ENST00000903858	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
CYP2F1	ENSG00000197446	ENST00000903859	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
ENSG00000284931	ENSG00000284931	ENST00000642908	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0
ENSG00000284931	ENSG00000284931	ENST00000647543	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0
ENSG00000290652	ENSG00000290652	ENST00000454892		0	0	0	1	0	0	0	0	0	0	0	1
ENSG00000290652	ENSG00000290652	ENST00000759251		0	0	0	1	0	0	1	0	0	0	0	0
ENSG00000290652	ENSG00000290652	ENST00000759252		0	0	0	1	0	0	1	0	0	0	0	0
ENSG00000290652	ENSG00000290652	ENST00000759253		0	0	0	1	0	0	1	0	0	0	0	0
ENSG00000290652	ENSG00000290652	ENST00000759254		0	0	0	1	0	0	1	0	0	0	0	0
ENSG00000298932	ENSG00000298932	ENST00000759072		0	0	0	1	0	1	0	0	0	0	0	0
ENSG00000301056	ENSG00000301056	ENST00000775808		0	0	0	1	0	0	1	0	0	0	0	0
ENSG00000301056	ENSG00000301056	ENST00000775809		0	0	0	1	0	0	1	0	0	0	0	0
ENSG00000301056	ENSG00000301056	ENST00000775810		0	0	0	1	0	0	1	0	0	0	0	0
ENSG00000301056	ENSG00000301056	ENST00000775814		0	0	0	1	0	0	1	0	0	0	0	0
HBBP1	ENSG00000229988	ENST00000433329	transcribed_unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	1
HBD	ENSG00000223609	ENST00000643122	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
HBG1	ENSG00000213934	ENST00000330597	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0
HBG1	ENSG00000213934	ENST00000632727	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0
HBG1	ENSG00000213934	ENST00000648735	retained_intron	0	0	0	1	0	1	0	0	0	0	0	0
ZNF385B	ENSG00000144331	ENST00000336917	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
ZNF385B	ENSG00000144331	ENST00000409343	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
ZNF385B	ENSG00000144331	ENST00000409692	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
ZNF385B	ENSG00000144331	ENST00000410066	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
ZNF385B	ENSG00000144331	ENST00000457304	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0
ZNF385B	ENSG00000144331	ENST00000466398		0	0	0	1	0	0	1	0	0	0	0	0
ZNF385B	ENSG00000144331	ENST00000469551		0	0	0	1	0	1	0	0	0	0	0	0
ZNF385B	ENSG00000144331	ENST00000475539		0	0	0	1	0	1	0	0	0	0	0	0
